repositories,stars_count,forks_count,issues_count,pull_requests,contributors,language,Language Frequency
btholt/citr-v6-project,487,499,11,6,0,JavaScript,253
Anuj-Kumar-Sharma/NewsApp,40,44,4,6,0,Kotlin,7
Anuj-Kumar-Sharma/Shuffler,275,291,3,6,0,Java,44
PragneshRamani/Coursera---Using-Python-to-Access-Web-Data,37,79,3,6,0,Python,155
PragneshRamani/Coursera---Using-Python-to-Access-Web-Data,37,79,3,6,0,Python,155
wsvincent/awesome-django,0,940,2,5,65,HTML,72
salil-naik/css-art-gallery,126,206,16,5,29,JavaScript,253
ethereum/casper,681,181,18,5,19,Python,155
arogozhnikov/einops,0,249,34,5,18,Python,155
davglass/cpr,76,29,13,5,15,JavaScript,253
donnemartin/haxor-news,0,177,34,5,9,Python,155
WhiteHouse/cyber-acquisitions,8,37,54,5,5,CSS,37
google/account-provisioning-for-google-apps,50,26,8,5,3,Java,44
rupa/epub,360,62,18,5,2,Python,155
zemse/bitcoin3js,3,0,5,5,2,JavaScript,253
adrianhajdin/project_e_commerce,0,450,45,5,0,JavaScript,253
adrianhajdin/project_graphql_blog,977,233,28,5,0,JavaScript,253
adrianhajdin/project_medical_pager_chat,968,336,14,5,0,JavaScript,253
asweigart/automatetheboringstuffwithpythondotcom,63,37,2,5,0,HTML,72
hrushikesh-git/foodDom,0,0,1,5,0,JavaScript,253
smaranjitghose/awesome-portfolio-websites,0,0,16,4,151,HTML,72
EddieHubCommunity/EventCalendar,34,39,12,4,21,JavaScript,253
thrau/jarchivelib,183,33,23,4,7,Java,44
kdeldycke/click-extra,9,2,6,4,5,Python,155
